Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
Cristiano Ronaldo,02/03,Liga Portugal,6,2002-10-07,H,Sporting CP,Moreirense FC,3:00,LW,34,2:00,Solo run,
Cristiano Ronaldo,02/03,Liga Portugal,6,2002-10-07,H,Sporting CP,Moreirense FC,3:00,LW,90+5,3:00,Header,Rui Jorge
Cristiano Ronaldo,02/03,Liga Portugal,8,2002-10-26,A,Sporting CP,Boavista FC,1:02,,88,1:02,Right-footed shot,Carlos Martins
Cristiano Ronaldo,02/03,Taca de Portugal Placard,Fourth Round,2002-11-24,H,Sporting CP,CD Estarreja,4:01,,67,3:00,Left-footed shot,Cesar Prates
Cristiano Ronaldo,02/03,Taca de Portugal Placard,Fifth Round,2002-12-18,H,Sporting CP,FC Oliveira do Hospital,8:01,,13,3:00,,
Cristiano Ronaldo,03/04,Premier League,11,2003-11-01,H,Manchester United,Portsmouth FC,3:00,RW,80,2:00,Direct free kick,
Cristiano Ronaldo,03/04,FA Cup,Fifth Round,2004-02-14,H,Manchester United,Manchester City,4:02,RW,74,3:00,Right-footed shot,
Cristiano Ronaldo,03/04,Premier League,29,2004-03-20,H,Manchester United,Tottenham Hotspur,3:00,,89,2:00,Right-footed shot,
Cristiano Ronaldo,03/04,Premier League,32,2004-04-10,A,Manchester United,Birmingham City,1:02,,60,1:01,Header,Ryan Giggs
Cristiano Ronaldo,03/04,Premier League,38,2004-05-15,A,Manchester United,Aston Villa,0:02,,4,0:01,Right-footed shot,
Cristiano Ronaldo,03/04,FA Cup,Final,2004-05-22,H,Manchester United,Millwall FC,3:00,RW,44,1:00,Header,Gary Neville
Cristiano Ronaldo,04/05,Premier League,16,2004-12-04,H,Manchester United,Southampton FC,3:00,,87,3:00,Right-footed shot,Gary Neville
Cristiano Ronaldo,04/05,FA Cup,Third Round,2005-01-19,A,Manchester United,Exeter City,0:02,,9,0:01,,Paul Scholes
Cristiano Ronaldo,04/05,Premier League,24,2005-01-22,H,Manchester United,Aston Villa,3:01,,8,1:00,Right-footed shot,Louis Saha
Cristiano Ronaldo,04/05,Premier League,25,2005-02-01,A,Manchester United,Arsenal FC,2:04,RW,54,2:02,Left-footed shot,Ryan Giggs
Cristiano Ronaldo,04/05,Premier League,25,2005-02-01,A,Manchester United,Arsenal FC,2:04,RW,58,2:03,Tap-in,Ryan Giggs
Cristiano Ronaldo,04/05,FA Cup,Fifth Round,2005-02-19,A,Manchester United,Everton FC,0:02,,58,0:02,Tap-in,Paul Scholes
Cristiano Ronaldo,04/05,FA Cup,Sixth Round,2005-03-12,A,Manchester United,Southampton FC,0:04,,45+1,0:02,Left-footed shot,Ruud van Nistelrooy
Cristiano Ronaldo,04/05,Premier League,30,2005-03-19,H,Manchester United,Fulham FC,1:00,,21,1:00,Right-footed shot,Roy Keane
Cristiano Ronaldo,04/05,FA Cup,Semi-Finals,2005-04-17,A,Manchester United,Newcastle United,1:04,RW,76,1:04,Right-footed shot,Ruud van Nistelrooy
Lionel Messi,04/05,LaLiga,34,2005-05-01,H,FC Barcelona,Albacete Balompie,2:00,CF,90+1,2:00,Left-footed shot,Ronaldinho Gaacho
Cristiano Ronaldo,05/06,UEFA Champions League Qualifying,3rd round,2005-08-09,H,Manchester United,Debreceni VSC,3:00,,63,3:00,Right-footed shot,Paul Scholes
Cristiano Ronaldo,05/06,Premier League,11,2005-10-29,A,Manchester United,Middlesbrough FC,4:01,,90,4:01,Header,Paul Scholes
Lionel Messi,05/06,UEFA Champions League,Group Stage,2005-11-02,H,FC Barcelona,Panathinaikos Athens,5:00,RW,34,3:00,Left-footed shot,
Lionel Messi,05/06,LaLiga,13,2005-11-27,H,FC Barcelona,Racing Santander,4:01,RW,51,2:00,Left-footed shot,Samuel Etoo
Cristiano Ronaldo,05/06,EFL Cup,Round of 16,2005-11-30,H,Manchester United,West Bromwich Albion,3:01,RW,12,1:01,Penalty,
Cristiano Ronaldo,05/06,Premier League,20,2005-12-31,H,Manchester United,Bolton Wanderers,4:01,,68,3:01,Right-footed shot,Wayne Rooney
Cristiano Ronaldo,05/06,Premier League,20,2005-12-31,H,Manchester United,Bolton Wanderers,4:01,,90,4:01,Left-footed shot,Ruud van Nistelrooy
Lionel Messi,05/06,LaLiga,19,2006-01-15,H,FC Barcelona,Athletic Bilbao,2:01,RW,50,2:01,Left-footed shot,Mark van Bommel
Lionel Messi,05/06,LaLiga,20,2006-01-22,H,FC Barcelona,Deportivo Alaves,2:00,CF,82,2:00,Left-footed shot,Ronaldinho Gaacho
Lionel Messi,05/06,LaLiga,21,2006-01-29,A,FC Barcelona,RCD Mallorca,0:03,CF,83,0:03,Left-footed shot,Ronaldinho Gaacho
Lionel Messi,05/06,LaLiga,21,2006-01-29,A,FC Barcelona,RCD Mallorca,0:03,CF,75,0:02,Right-footed shot,Sylvinho
Lionel Messi,05/06,Copa del Rey,Quarter-Finals,2006-02-01,H,FC Barcelona,Real Zaragoza,2:01,CF,42,1:00,Header,Ludovic Giuly
Cristiano Ronaldo,05/06,Premier League,25,2006-02-04,H,Manchester United,Fulham FC,4:02,,14,2:00,Direct free kick,
Cristiano Ronaldo,05/06,Premier League,25,2006-02-04,H,Manchester United,Fulham FC,4:02,,87,4:02,Right-footed shot,
Cristiano Ronaldo,05/06,Premier League,26,2006-02-11,A,Manchester United,Portsmouth FC,1:03,RW,38,0:02,Left-footed shot,
Cristiano Ronaldo,05/06,Premier League,26,2006-02-11,A,Manchester United,Portsmouth FC,1:03,RW,45,0:03,Right-footed shot,Wayne Rooney
Lionel Messi,05/06,LaLiga,24,2006-02-18,H,FC Barcelona,Real Betis Balompie,5:01,RW,84,5:01,Left-footed shot,
Cristiano Ronaldo,05/06,EFL Cup,Final,2006-02-26,H,Manchester United,Wigan Athletic,4:00,RW,59,3:00,,Louis Saha
Cristiano Ronaldo,05/06,Premier League,28,2006-03-06,A,Manchester United,Wigan Athletic,1:02,,74,1:01,Right-footed shot,Ruud van Nistelrooy
Cristiano Ronaldo,05/06,Premier League,38,2006-05-07,H,Manchester United,Charlton Athletic,4:00,RW,23,2:00,Left-footed shot,Ryan Giggs
Cristiano Ronaldo,06/07,Premier League,1,2006-08-20,H,Manchester United,Fulham FC,5:01,,19,4:00,,Wayne Rooney
Lionel Messi,06/07,LaLiga,1,2006-08-28,A,FC Barcelona,Celta de Vigo,2:03,LW,59,1:02,Left-footed shot,Andres Iniesta
Lionel Messi,06/07,LaLiga,2,2006-09-09,H,FC Barcelona,CA Osasuna,3:00,RW,36,3:00,Left-footed shot,Samuel Etoo
Cristiano Ronaldo,06/07,Premier League,6,2006-09-23,A,Manchester United,Reading FC,1:01,CF,73,1:01,,John OShea
Lionel Messi,06/07,UEFA Champions League,Group Stage,2006-09-27,A,FC Barcelona,SV Werder Bremen,1:01,RW,89,1:01,Left-footed shot,Deco
Lionel Messi,06/07,LaLiga,6,2006-10-15,H,FC Barcelona,Sevilla FC,3:01,RW,80,3:01,Right-footed shot,Xavi
Cristiano Ronaldo,06/07,Premier League,10,2006-10-28,A,Manchester United,Bolton Wanderers,0:04,,82,0:03,,Louis Saha
Cristiano Ronaldo,06/07,Premier League,11,2006-11-04,H,Manchester United,Portsmouth FC,3:00,RW,10,2:00,Direct free kick,
Cristiano Ronaldo,06/07,Premier League,15,2006-11-29,H,Manchester United,Everton FC,3:00,,39,1:00,,
Cristiano Ronaldo,06/07,Premier League,17,2006-12-09,H,Manchester United,Manchester City,3:01,,84,3:01,,
Cristiano Ronaldo,06/07,Premier League,19,2006-12-23,A,Manchester United,Aston Villa,0:03,,85,0:03,,Gary Neville
Cristiano Ronaldo,06/07,Premier League,19,2006-12-23,A,Manchester United,Aston Villa,0:03,,58,0:01,,
Cristiano Ronaldo,06/07,Premier League,20,2006-12-26,H,Manchester United,Wigan Athletic,3:01,,50,2:00,Penalty rebound,Ji-sung Park
Cristiano Ronaldo,06/07,Premier League,20,2006-12-26,H,Manchester United,Wigan Athletic,3:01,,47,1:00,,Paul Scholes
Cristiano Ronaldo,06/07,Premier League,21,2006-12-30,H,Manchester United,Reading FC,3:02,RW,58,2:01,,Ole Gunnar Solskjaer
Cristiano Ronaldo,06/07,Premier League,21,2006-12-30,H,Manchester United,Reading FC,3:02,RW,77,3:01,,Ryan Giggs
Cristiano Ronaldo,06/07,Premier League,23,2007-01-13,H,Manchester United,Aston Villa,3:01,,34,3:00,Header,Michael Carrick
Cristiano Ronaldo,06/07,Premier League,25,2007-01-31,H,Manchester United,Watford FC,4:00,RW,12,1:00,Penalty,
Cristiano Ronaldo,06/07,Premier League,26,2007-02-03,A,Manchester United,Tottenham Hotspur,0:04,RW,45,0:01,Penalty,
Cristiano Ronaldo,06/07,Premier League,28,2007-02-24,A,Manchester United,Fulham FC,1:02,,88,1:02,Solo run,
Cristiano Ronaldo,06/07,FA Cup,Sixth Round,2007-03-10,A,Manchester United,Middlesbrough FC,2:02,RW,68,2:02,Penalty,
Lionel Messi,06/07,LaLiga,26,2007-03-10,H,FC Barcelona,Real Madrid,3:03,RW,90+1,3:03,Left-footed shot,Ronaldinho Gaacho
Lionel Messi,06/07,LaLiga,26,2007-03-10,H,FC Barcelona,Real Madrid,3:03,RW,11,1:01,Left-footed shot,Samuel Etoo
Lionel Messi,06/07,LaLiga,26,2007-03-10,H,FC Barcelona,Real Madrid,3:03,RW,28,2:02,Left-footed shot,
Lionel Messi,06/07,LaLiga,27,2007-03-17,A,FC Barcelona,Recreativo Huelva,0:04,RW,86,0:04,Left-footed shot,
Cristiano Ronaldo,06/07,FA Cup,6th round,2007-03-19,H,Manchester United,Middlesbrough FC,1:00,,76,1:00,Penalty,
Lionel Messi,06/07,LaLiga,28,2007-03-31,H,FC Barcelona,Deportivo de La Coruaa,2:01,RW,45,1:00,Left-footed shot,Ronaldinho Gaacho
Cristiano Ronaldo,06/07,UEFA Champions League,Quarter-Finals,2007-04-10,H,Manchester United,AS Roma,7:01,RW,44,4:00,Right-footed shot,Ryan Giggs
Cristiano Ronaldo,06/07,UEFA Champions League,Quarter-Finals,2007-04-10,H,Manchester United,AS Roma,7:01,RW,49,5:00,Right-footed shot,Ryan Giggs
Cristiano Ronaldo,06/07,FA Cup,Semi-Finals,2007-04-14,A,Manchester United,Watford FC,1:04,,28,1:02,Right-footed shot,Wayne Rooney
Lionel Messi,06/07,Copa del Rey,Semi-Finals,2007-04-18,H,FC Barcelona,Getafe CF,5:02,RW,29,2:00,Solo run,Xavi
Lionel Messi,06/07,Copa del Rey,Semi-Finals,2007-04-18,H,FC Barcelona,Getafe CF,5:02,RW,45,3:00,Left-footed shot,Deco
Cristiano Ronaldo,06/07,UEFA Champions League,Semi-Finals,2007-04-24,H,Manchester United,AC Milan,3:02,RW,5,1:00,Header,Ryan Giggs
Cristiano Ronaldo,06/07,Premier League,37,2007-05-05,A,Manchester United,Manchester City,0:01,RW,34,0:01,Penalty,
Lionel Messi,06/07,LaLiga,35,2007-05-20,A,FC Barcelona,Atletico de Madrid,0:06,RW,39,0:01,Left-footed shot,Samuel Etoo
Lionel Messi,06/07,LaLiga,35,2007-05-20,A,FC Barcelona,Atletico de Madrid,0:06,RW,80,0:05,Left-footed shot,Giovanni van Bronckhorst
Lionel Messi,06/07,LaLiga,37,2007-06-09,H,FC Barcelona,RCD Espanyol Barcelona,2:02,RW,43,1:01,,Gianluca Zambrotta
Lionel Messi,06/07,LaLiga,37,2007-06-09,H,FC Barcelona,RCD Espanyol Barcelona,2:02,RW,57,2:01,Right-footed shot,Deco
Lionel Messi,06/07,LaLiga,38,2007-06-17,A,FC Barcelona,Gimnastic de Tarragona,1:05,RW,34,0:02,Left-footed shot,Deco
Lionel Messi,06/07,LaLiga,38,2007-06-17,A,FC Barcelona,Gimnastic de Tarragona,1:05,RW,51,0:04,Left-footed shot,Deco
Lionel Messi,07/08,UEFA Champions League,Group Stage,2007-09-19,H,FC Barcelona,Olympique Lyon,3:00,RW,82,2:00,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,07/08,UEFA Champions League,Group Stage,2007-09-19,A,Manchester United,Sporting CP,0:01,RW,62,0:01,Header,Wes Brown
Lionel Messi,07/08,LaLiga,4,2007-09-22,H,FC Barcelona,Sevilla FC,2:01,RW,72,1:00,Left-footed shot,Thierry Henry
Lionel Messi,07/08,LaLiga,4,2007-09-22,H,FC Barcelona,Sevilla FC,2:01,RW,79,2:00,Penalty,
Lionel Messi,07/08,LaLiga,5,2007-09-26,H,FC Barcelona,Real Zaragoza,4:01,RW,10,2:01,Left-footed shot,Deco
Lionel Messi,07/08,LaLiga,5,2007-09-26,H,FC Barcelona,Real Zaragoza,4:01,RW,5,1:00,Left-footed shot,Thierry Henry
Cristiano Ronaldo,07/08,Premier League,8,2007-09-29,A,Manchester United,Birmingham City,0:01,RW,51,0:01,,
Lionel Messi,07/08,LaLiga,6,2007-09-29,A,FC Barcelona,Levante UD,1:04,RW,50,0:04,Left-footed shot,Deco
Lionel Messi,07/08,UEFA Champions League,Group Stage,2007-10-02,A,FC Barcelona,VfB Stuttgart,0:02,RW,66,0:02,Deflected shot on goal,Thierry Henry
Cristiano Ronaldo,07/08,Premier League,9,2007-10-06,H,Manchester United,Wigan Athletic,4:00,RW,76,3:00,Right-footed shot,Wayne Rooney
Cristiano Ronaldo,07/08,Premier League,9,2007-10-06,H,Manchester United,Wigan Athletic,4:00,RW,59,2:00,Header,Ryan Giggs
Lionel Messi,07/08,LaLiga,7,2007-10-07,H,FC Barcelona,Atletico de Madrid,3:00,RW,19,2:00,Left-footed shot,Ronaldinho Gaacho
Cristiano Ronaldo,07/08,UEFA Champions League,Group Stage,2007-10-23,A,Manchester United,Dynamo Kyiv,2:04,RW,41,1:03,Penalty,
Cristiano Ronaldo,07/08,UEFA Champions League,Group Stage,2007-10-23,A,Manchester United,Dynamo Kyiv,2:04,RW,68,1:04,Header,Ryan Giggs
Lionel Messi,07/08,LaLiga,9,2007-10-28,H,FC Barcelona,UD Almera,2:00,RW,80,2:00,Penalty,
Cristiano Ronaldo,07/08,Premier League,12,2007-11-03,A,Manchester United,Arsenal FC,2:02,RW,82,1:02,,Patrice Evra
Cristiano Ronaldo,07/08,UEFA Champions League,Group Stage,2007-11-07,H,Manchester United,Dynamo Kyiv,4:00,RW,88,4:00,Right-footed shot,Patrice Evra
Lionel Messi,07/08,UEFA Champions League,Group Stage,2007-11-07,H,FC Barcelona,Rangers FC,2:00,RW,41,2:00,Left-footed shot,Ronaldinho Gaacho
Cristiano Ronaldo,07/08,Premier League,13,2007-11-11,H,Manchester United,Blackburn Rovers,2:00,RW,34,1:00,Header,Ryan Giggs
Cristiano Ronaldo,07/08,Premier League,13,2007-11-11,H,Manchester United,Blackburn Rovers,2:00,RW,35,2:00,Right-footed shot,Carlos Tevez
Lionel Messi,07/08,LaLiga,13,2007-11-24,H,FC Barcelona,Recreativo Huelva,3:00,RW,81,3:00,Penalty,
Cristiano Ronaldo,07/08,UEFA Champions League,Group Stage,2007-11-27,H,Manchester United,Sporting CP,2:01,RW,90+3,2:01,Direct free kick,
Lionel Messi,07/08,UEFA Champions League,Group Stage,2007-11-27,A,FC Barcelona,Olympique Lyon,2:02,RW,58,1:02,Penalty,
Cristiano Ronaldo,07/08,Premier League,15,2007-12-03,H,Manchester United,Fulham FC,2:00,,10,1:00,Right-footed shot,Nemanja Vidicâ€Ž
Cristiano Ronaldo,07/08,Premier League,15,2007-12-03,H,Manchester United,Fulham FC,2:00,,58,2:00,Header,John OShea
Cristiano Ronaldo,07/08,Premier League,16,2007-12-08,H,Manchester United,Derby County,4:01,,90,4:01,Penalty,
Cristiano Ronaldo,07/08,Premier League,18,2007-12-23,H,Manchester United,Everton FC,2:01,RW,22,1:00,Left-footed shot,Carlos Tevez
Cristiano Ronaldo,07/08,Premier League,18,2007-12-23,H,Manchester United,Everton FC,2:01,RW,87,2:01,Penalty,
Cristiano Ronaldo,07/08,Premier League,19,2007-12-26,A,Manchester United,Sunderland AFC,0:04,,45,0:03,Direct free kick,
Cristiano Ronaldo,07/08,Premier League,20,2007-12-29,A,Manchester United,West Ham United,2:01,RW,14,0:01,Header,Ryan Giggs
Cristiano Ronaldo,07/08,FA Cup,Third Round,2008-01-05,A,Manchester United,Aston Villa,0:02,,81,0:01,Left-footed shot,Ryan Giggs
Cristiano Ronaldo,07/08,Premier League,22,2008-01-12,H,Manchester United,Newcastle United,6:00,RW,88,5:00,Left-footed shot,
Cristiano Ronaldo,07/08,Premier League,22,2008-01-12,H,Manchester United,Newcastle United,6:00,RW,70,3:00,Right-footed shot,Carlos Tevez
Cristiano Ronaldo,07/08,Premier League,22,2008-01-12,H,Manchester United,Newcastle United,6:00,RW,48,1:00,Direct free kick,
Cristiano Ronaldo,07/08,Premier League,23,2008-01-19,A,Manchester United,Reading FC,0:02,RW,90+2,0:02,Right-footed shot,
Cristiano Ronaldo,07/08,FA Cup,Fourth Round,2008-01-27,H,Manchester United,Tottenham Hotspur,3:01,RW,69,2:01,Penalty,
Cristiano Ronaldo,07/08,FA Cup,Fourth Round,2008-01-27,H,Manchester United,Tottenham Hotspur,3:01,RW,88,3:01,Right-footed shot,Ryan Giggs
Cristiano Ronaldo,07/08,Premier League,24,2008-01-30,H,Manchester United,Portsmouth FC,2:00,RW,10,1:00,Right-footed shot,Nani
Cristiano Ronaldo,07/08,Premier League,24,2008-01-30,H,Manchester United,Portsmouth FC,2:00,RW,12,2:00,Direct free kick,
Lionel Messi,07/08,UEFA Champions League,last 16,2008-02-20,A,FC Barcelona,Celtic FC,2:03,RW,18,1:01,Left-footed shot,Deco
Lionel Messi,07/08,UEFA Champions League,last 16,2008-02-20,A,FC Barcelona,Celtic FC,2:03,RW,79,2:03,Left-footed shot,
Cristiano Ronaldo,07/08,Premier League,27,2008-02-23,A,Manchester United,Newcastle United,1:05,RW,45,0:02,Right-footed shot,Michael Carrick
Cristiano Ronaldo,07/08,Premier League,27,2008-02-23,A,Manchester United,Newcastle United,1:05,RW,56,0:03,Right-footed shot,
Lionel Messi,07/08,LaLiga,25,2008-02-24,H,FC Barcelona,Levante UD,5:01,RW,44,2:01,Left-footed shot,Xavi
Cristiano Ronaldo,07/08,UEFA Champions League,last 16,2008-03-04,H,Manchester United,Olympique Lyon,1:00,RW,41,1:00,Left-footed shot,
Cristiano Ronaldo,07/08,Premier League,29,2008-03-15,A,Manchester United,Derby County,0:01,,76,0:01,Right-footed shot,Wayne Rooney
Cristiano Ronaldo,07/08,Premier League,30,2008-03-19,H,Manchester United,Bolton Wanderers,2:00,,8,1:00,Right-footed shot,
Cristiano Ronaldo,07/08,Premier League,30,2008-03-19,H,Manchester United,Bolton Wanderers,2:00,,19,2:00,Direct free kick,
Cristiano Ronaldo,07/08,Premier League,31,2008-03-23,H,Manchester United,Liverpool FC,3:00,RW,79,2:00,Header,Nani
Cristiano Ronaldo,07/08,Premier League,32,2008-03-29,H,Manchester United,Aston Villa,4:00,RW,16,1:00,Right-footed shot,
Cristiano Ronaldo,07/08,UEFA Champions League,Quarter-Finals,2008-04-01,A,Manchester United,AS Roma,0:02,RW,39,0:01,Header,Paul Scholes
Cristiano Ronaldo,07/08,Premier League,33,2008-04-06,A,Manchester United,Middlesbrough FC,2:02,RW,9,0:01,Left-footed shot,Michael Carrick
Cristiano Ronaldo,07/08,Premier League,34,2008-04-13,H,Manchester United,Arsenal FC,2:01,RW,53,1:01,Penalty,
Cristiano Ronaldo,07/08,Premier League,37,2008-05-03,H,Manchester United,West Ham United,4:01,RW,3,1:00,Right-footed shot,Edwin van der Sar
Cristiano Ronaldo,07/08,Premier League,37,2008-05-03,H,Manchester United,West Ham United,4:01,RW,24,2:00,Right-footed shot,Owen Hargreaves
Lionel Messi,07/08,LaLiga,35,2008-05-04,H,FC Barcelona,Valencia CF,6:00,RW,5,1:00,Penalty,
Cristiano Ronaldo,07/08,Premier League,38,2008-05-11,A,Manchester United,Wigan Athletic,0:02,RW,32,0:01,Penalty,
Cristiano Ronaldo,07/08,UEFA Champions League,Final,2008-05-21,H,Manchester United,Chelsea FC,6:5 on pens,LW,26,1:00,Header,Wes Brown
Lionel Messi,08/09,LaLiga,2,2008-09-13,H,FC Barcelona,Racing Santander,1:01,RW,70,1:00,Penalty,
Lionel Messi,08/09,LaLiga,3,2008-09-21,A,FC Barcelona,Sporting GijÃ³n,1:06,RW,85,1:05,Left-footed shot,Andres Iniesta
Lionel Messi,08/09,LaLiga,3,2008-09-21,A,FC Barcelona,Sporting GijÃ³n,1:06,RW,89,1:06,Header,Xavi
Cristiano Ronaldo,08/09,EFL Cup,Third Round,2008-09-23,H,Manchester United,Middlesbrough FC,3:01,,25,1:00,Header,Ryan Giggs
Cristiano Ronaldo,08/09,Premier League,6,2008-09-27,H,Manchester United,Bolton Wanderers,2:00,RW,59,1:00,Penalty,
Lionel Messi,08/09,LaLiga,5,2008-09-27,A,FC Barcelona,RCD Espanyol Barcelona,1:02,RW,90,1:02,Penalty,
Lionel Messi,08/09,UEFA Champions League,Group Stage,2008-10-01,A,FC Barcelona,Shakhtar Donetsk,1:02,RW,90+2,1:02,Left-footed shot,Xavi
Lionel Messi,08/09,UEFA Champions League,Group Stage,2008-10-01,A,FC Barcelona,Shakhtar Donetsk,1:02,RW,87,1:01,Right-footed shot,Bojan Krkic
Lionel Messi,08/09,LaLiga,6,2008-10-04,H,FC Barcelona,Atletico de Madrid,6:01,RW,8,3:00,Direct free kick,
Cristiano Ronaldo,08/09,Premier League,8,2008-10-18,H,Manchester United,West Bromwich Albion,4:00,RW,69,2:00,Left-footed shot,Wayne Rooney
Lionel Messi,08/09,UEFA Champions League,Group Stage,2008-10-22,A,FC Barcelona,FC Basel 1893,0:05,CF,4,0:01,Left-footed shot,Dani Alves
Cristiano Ronaldo,08/09,Premier League,10,2008-10-29,H,Manchester United,West Ham United,2:00,RW,14,1:00,Left-footed shot,Nani
Cristiano Ronaldo,08/09,Premier League,10,2008-10-29,H,Manchester United,West Ham United,2:00,RW,30,2:00,Right-footed shot,Dimitar Berbatov
Cristiano Ronaldo,08/09,Premier League,11,2008-11-01,H,Manchester United,Hull City,4:03,RW,43,3:01,Header,Nani
Cristiano Ronaldo,08/09,Premier League,11,2008-11-01,H,Manchester United,Hull City,4:03,RW,3,1:00,Left-footed shot,Dimitar Berbatov
Lionel Messi,08/09,LaLiga,9,2008-11-01,A,FC Barcelona,Malaga CF,1:04,RW,19,1:02,Left-footed shot,
Lionel Messi,08/09,UEFA Champions League,Group Stage,2008-11-04,H,FC Barcelona,FC Basel 1893,1:01,RW,61,1:00,Left-footed shot,Thierry Henry
Lionel Messi,08/09,Copa del Rey,Fifth Round,2008-11-12,H,FC Barcelona,Benidorm CD,1:00,RW,86,1:00,Penalty rebound,
Cristiano Ronaldo,08/09,Premier League,13,2008-11-15,H,Manchester United,Stoke City,5:00,RW,88,5:00,Direct free kick,
Cristiano Ronaldo,08/09,Premier League,13,2008-11-15,H,Manchester United,Stoke City,5:00,RW,3,1:00,Direct free kick,
Lionel Messi,08/09,LaLiga,11,2008-11-16,A,FC Barcelona,Recreativo Huelva,0:02,RW,51,0:01,Left-footed shot,Xavi
Lionel Messi,08/09,UEFA Champions League,Group Stage,2008-11-26,A,FC Barcelona,Sporting CP,2:05,RW,49,0:03,Left-footed shot,Dani Alves
Lionel Messi,08/09,LaLiga,13,2008-11-29,A,FC Barcelona,Sevilla FC,0:03,RW,90+2,0:03,Left-footed shot,Aleksandr Hleb
Lionel Messi,08/09,LaLiga,13,2008-11-29,A,FC Barcelona,Sevilla FC,0:03,RW,78,0:02,Left-footed shot,Xavi
Lionel Messi,08/09,LaLiga,15,2008-12-13,H,FC Barcelona,Real Madrid,2:00,RW,89,2:00,Counter attack goal,Thierry Henry
Cristiano Ronaldo,08/09,FIFA Club World Cup,Semi-Finals,2008-12-18,A,Manchester United,Gamba Osaka,3:05,LW,45+1,0:02,Header,Ryan Giggs
Lionel Messi,08/09,Copa del Rey,Round of 16,2009-01-06,A,FC Barcelona,Atletico de Madrid,1:03,RW,79,1:03,Right-footed shot,Andres Iniesta
Lionel Messi,08/09,Copa del Rey,Round of 16,2009-01-06,A,FC Barcelona,Atletico de Madrid,1:03,RW,11,0:01,Left-footed shot,Dani Alves
Lionel Messi,08/09,Copa del Rey,Round of 16,2009-01-06,A,FC Barcelona,Atletico de Madrid,1:03,RW,57,0:02,Penalty,
Lionel Messi,08/09,LaLiga,18,2009-01-11,A,FC Barcelona,CA Osasuna,2:03,RW,84,2:03,Left-footed shot,Dani Alves
Lionel Messi,08/09,LaLiga,19,2009-01-17,H,FC Barcelona,Deportivo de La Coruaa,5:00,RW,21,1:00,Left-footed shot,
Cristiano Ronaldo,08/09,EFL Cup,Semi-Finals,2009-01-20,H,Manchester United,Derby County,4:02,,89,4:01,Penalty,
Lionel Messi,08/09,LaLiga,20,2009-01-24,H,FC Barcelona,CD Numancia,4:01,RW,49,1:00,Left-footed shot,Dani Alves
Lionel Messi,08/09,LaLiga,20,2009-01-24,H,FC Barcelona,CD Numancia,4:01,RW,76,4:01,Right-footed shot,
Cristiano Ronaldo,08/09,Premier League,23,2009-01-27,A,Manchester United,West Bromwich Albion,0:05,LW,65,0:04,Right-footed shot,Ryan Giggs
Cristiano Ronaldo,08/09,Premier League,23,2009-01-27,A,Manchester United,West Bromwich Albion,0:05,LW,73,0:05,Right-footed shot,Dimitar Berbatov
Cristiano Ronaldo,08/09,Premier League,24,2009-01-31,H,Manchester United,Everton FC,1:00,LW,43,1:00,Penalty,
Lionel Messi,08/09,LaLiga,21,2009-02-01,A,FC Barcelona,Racing Santander,1:02,RW,81,1:02,Right-footed shot,
Lionel Messi,08/09,LaLiga,21,2009-02-01,A,FC Barcelona,Racing Santander,1:02,RW,65,1:01,Right-footed shot,Xavi
Cristiano Ronaldo,08/09,FA Cup,Fifth Round,2009-02-15,A,Manchester United,Derby County,1:04,CF,68,1:03,Header,Ryan Giggs
Cristiano Ronaldo,08/09,Premier League,26,2009-02-21,H,Manchester United,Blackburn Rovers,2:01,,60,2:01,Direct free kick,
Lionel Messi,08/09,LaLiga,25,2009-03-01,A,FC Barcelona,Atletico de Madrid,4:03,RW,30,0:02,Left-footed shot,
Lionel Messi,08/09,Copa del Rey,Semi-Finals,2009-03-04,A,FC Barcelona,RCD Mallorca,1:01,RW,81,1:01,Left-footed shot,Gerard Pique
Lionel Messi,08/09,LaLiga,26,2009-03-07,H,FC Barcelona,Athletic Bilbao,2:00,RW,31,2:00,Penalty,
Cristiano Ronaldo,08/09,UEFA Champions League,last 16,2009-03-11,H,Manchester United,FC Internazionale,2:00,RW,49,2:00,Header,Wayne Rooney
Lionel Messi,08/09,UEFA Champions League,last 16,2009-03-11,H,FC Barcelona,Olympique Lyon,5:02,RW,40,3:00,Left-footed shot,Samuel Etoo
Cristiano Ronaldo,08/09,Premier League,29,2009-03-14,H,Manchester United,Liverpool FC,1:04,RW,22,1:00,Penalty,
Lionel Messi,08/09,LaLiga,28,2009-03-22,H,FC Barcelona,Malaga CF,6:00,RW,26,2:00,Right-footed shot,Xavi
Cristiano Ronaldo,08/09,Premier League,31,2009-04-05,H,Manchester United,Aston Villa,3:02,RW,11,1:00,Direct free kick,
Cristiano Ronaldo,08/09,Premier League,31,2009-04-05,H,Manchester United,Aston Villa,3:02,RW,80,2:02,Left-footed shot,Michael Carrick
Lionel Messi,08/09,UEFA Champions League,Quarter-Finals,2009-04-08,H,FC Barcelona,Bayern Munich,4:00,RW,38,3:00,Right-footed shot,Thierry Henry
Lionel Messi,08/09,UEFA Champions League,Quarter-Finals,2009-04-08,H,FC Barcelona,Bayern Munich,4:00,RW,9,1:00,Left-footed shot,Samuel Etoo
